categories,Quantity,calories,protein,carbs,fat,fiber,glycemic_index,category,suggestion
White Rice,1 cup (200g),240,6.5,67,0.7,1,73,unhealthy,"High GI, avoid frequent consumption. Replace with brown rice, quinoa, or millet"
Apple,1 medium (150g),95,0.5,25,0.3,4,36,healthy,"Good snack, low GI and rich in fiber"
Banana,1 medium (120g),105,1.3,27,0.4,3.1,51,moderate,"Eat in moderation due to natural sugar"
Broccoli,1 cup (150g),55,3.7,11,0.6,3.8,15,healthy,"Helps control sugar and improve digestion"
Idli,2 pieces (120g),116,4,24,0.8,1,70,moderate,"Pair with sambar for better nutrition"
Chapati (Roti),1 medium (40g),120,3,20,1,3,62,healthy,"Whole wheat is best choice"
Rajma,1 cup (200g),140,9,22,0.5,6,28,healthy,"High fiber helps control sugar"
Paneer,100g,265,18,1.2,20,0,27,healthy,"High protein but high fat; consume in limited quantity, prefer low-fat paneer"
Fried Chicken,1 piece (150g),320,20,15,20,1,65,unhealthy,"Avoid due to high fat. Prefer grilled or baked chicken"
Buttermilk,1 glass (250ml),40,3,5,1,0,30,healthy,"Hydrating and low calorie"
French Fries,150g,312,3,41,15,3,75,unhealthy,"Avoid, high fat and high glycemic load. Replace with roasted vegetables, boiled chickpeas"
Biryani,1 cup (200g),290,8,35,12,2,70,unhealthy,"High carbs and fat. Limit portion and pair with salad or raita"
Please Scan a food item,1 cup (200g),290,8,35,12,2,70,unhealthy,"High carbs and fat. Limit portion and pair with salad or raita"
